scan_param,scan_value,status,R0,S_star,S_c,S_bar,q0,q_inf,q_max,has_inflection,regime,exit_side,dt,seg_high,seg_low,seg_high_frac,chord_dev
beta,0.3649999999999998,ok,10.244264416775879,718.9466836773727,74.38308589069199,46.51248000000003,0.01526,0.21259842519685068,0.8981176189236446,True,存在内部拐点,,6.3666633742910355,5.342367209221671,1.024296165069364,0.8391157023935751,0.16468711351913085
beta,0.36999999999999983,ok,10.384596806046783,719.0355250897893,73.37790905433128,45.522642162162185,0.01526,0.2063492063492065,0.8995068259622653,True,存在内部拐点,,6.370970118170255,5.388594583751506,0.9823755344187478,0.8458044040079586,0.16731074083611724
beta,0.37499999999999983,ok,10.524929195317686,719.1217309518989,72.39953693360687,44.55920000000003,0.01526,0.2000000000000003,0.9008586211049032,True,存在内部拐点,,6.375156881153479,5.4344914726669336,0.9406654084865446,0.8524482728782123,0.16990262200131143
beta,0.37999999999999984,ok,10.665261584588588,719.2054168783357,71.44691144763836,43.62111157894739,0.01526,0.19354838709677435,0.9021744971216628,True,存在内部拐点,,6.37922862150526,5.480073420431679,0.8991552010735809,0.8590495411870951,0.17246345671363258
beta,0.38499999999999984,ok,10.805593973859493,719.286691816082,70.5190294807859,42.70738909090912,0.01526,0.18699186991869943,0.9034558683192413,True,存在内部拐点,,6.38319002728143,5.52535542774003,0.8578345995414004,0.8656103616099382,0.17499379955285374
beta,0.38999999999999985,ok,10.945926363130395,719.3656585185005,69.61493935923737,41.8170953846154,0.01526,0.1803278688524591,0.9047040756354755,True,存在内部拐点,,6.387045534536089,5.570351987346424,0.8166935471896644,0.87213281277335,0.17749430796593785
beta,0.3949999999999998,ok,11.086258752401294,719.4424139794717,68.7337375951964,40.9493407594937,0.01526,0.17355371900826477,0.9059203913415299,True,存在内部拐点,,6.390799344072264,5.615077117523211,0.7757222265490537,0.8786189043365024,0.17996550486749077
beta,0.3999999999999998,ok,11.226591141672197,719.5170498315086,67.87456587525644,40.10328000000003,0.01526,0.16666666666666696,0.9071060233865871,True,存在内部拐点,,6.394455436870703,5.659544393355697,0.7349110435150061,0.8850705817296844,0.18240800107470187
beta,0.4049999999999998,ok,11.366923530943101,719.5896527112861,67.03660827185821,39.278109629629654,0.01526,0.1596638655462188,0.9082621194163896,True,存在内部拐点,,6.398017588317194,5.703766976063653,0.694250612253541,0.891489730581353,0.18482237815411404
beta,0.4099999999999998,ok,11.507255920214002,719.6603045956557,66.21908865878677,38.473065365853685,0.01526,0.1525423728813562,0.909389770493884,True,存在内部拐点,,6.401489381336454,5.747757640520943,0.6537317408155109,0.8978781808618684,0.18720918983413468
beta,0.4149999999999998,ok,11.647588309484906,719.7290831108887,65.42126831350018,37.68741975903617,0.01526,0.14529914529914556,0.9104900145474453,True,存在内部拐点,,6.404874218529568,5.7915288011292105,0.6133454174003576,0.9042377107694132,0.189568963332517
beta,0.4199999999999998,ok,11.787920698755809,719.7960618176111,64.64244369072041,36.92048000000002,0.01526,0.1379310344827589,0.9115638395697006,True,存在内部拐点,,6.408175333402331,5.835092536187669,0.5730827972146614,0.9105700503811915,0.1919022006045048
beta,0.4249999999999998,ok,11.92825308802671,719.8613104736222,63.88194435318253,36.171585882352964,0.01526,0.1304347826086959,0.912612186587769,True,存在内部拐点,,6.41139580076307,5.878460610888524,0.5329351898745458,0.9168768850909007,0.1942093795169054
beta,0.42999999999999977,ok,12.068585477297612,719.9248952765815,63.13913104675018,35.44010790697677,0.01526,0.12280701754386014,0.9136359524237733,True,存在内部拐点,,6.41453854636094,5.921644499056525,0.49289404730441494,0.9231598588515707,0.19649112174817027
beta,0.4349999999999998,ok,12.208917866568516,719.9868790883368,62.413393908281776,34.725445517241404,0.01526,0.11504424778761091,0.9146359922627136,True,存在内部拐点,,6.41760635582874,5.964655403741171,0.4529509520875699,0.9294205772412045,0.19874777771626573
beta,0.4399999999999998,ok,12.349250255839419,720.0473216424999,61.704150795687674,34.02702545454548,0.01526,0.10714285714285754,0.915613122043229,True,存在内部拐点,,6.420601882988257,6.007504276761275,0.41309760622698277,0.9356606103671515,0.20097993983141454
beta,0.4449999999999998,ok,12.48958264511032,720.1062797367028,61.01084573056759,33.34430022471913,0.01526,0.09909909909909931,0.9165681206853431,True,存在内部拐点,,6.4235276575706015,6.050201837293624,0.3733258202769777,0.9418814956238283,0.20318794945684854
beta,0.4499999999999998,ok,12.629915034381224,720.1638074108463,60.332947444672385,32.67674666666669,0.01526,0.09090909090909138,0.9175017321680363,True,存在内部拐点,,6.426386092399163,6.092758589590426,0.33362750280873654,0.9480847403172156,0.20537235934969592
beta,0.4549999999999998,ok,12.770247423652126,720.2199561125141,59.66994802220346,32.02386461538464,0.01526,0.08256880733944982,0.9184146674683294,True,存在内部拐点,,6.429179490078401,6.1351848399038715,0.2939946501745293,0.9542718241685076,0.2075335984531913
beta,0.4599999999999998,ok,12.910579812923029,720.2747748506176,59.02136163065777,31.38517565217394,0.01526,0.07407407407407451,0.919307606372543,True,存在内部拐点,,6.431910049227765,6.1774907126905125,0.25441933653725296,0.9604442017083559,0.20967205489948476
beta,0.4649999999999998,ok,13.05091220219393,720.328310338238,58.38672333355393,30.76022193548389,0.01526,0.06542056074766378,0.9201811991694646,True,存在内部拐点,,6.434579870296473,6.219686166163058,0.21489370413341502,0.9666033045723132,0.21178815960666988
beta,0.4699999999999998,ok,13.191244591464834,720.3806071255428,57.765587978941646,30.148565106383,0.01526,0.05660377358490609,0.9210360682343165,True,存在内部拐点,,6.437190960991749,6.261781007252757,0.17540995373899218,0.9727505437073491,0.21388232611698005
beta,0.47499999999999976,ok,13.331576980735734,720.4317077235706,57.15752915811069,29.549785263157922,0.01526,0.047619047619048116,0.9218728095116622,True,存在内部拐点,,6.439745241350188,6.303784906041464,0.13596033530872378,0.9788873114986428,0.21595495132419168
beta,0.47999999999999976,ok,13.471909370006635,720.4816527196083,56.56213822938037,28.963480000000025,0.01526,0.03846153846153888,0.922691993904699,True,存在内部拐点,,6.442244548479406,6.345707409718989,0.09653713876041753,0.9850149838252875,0.21800641616310298
beta,0.48499999999999976,ok,13.61224175927754,720.5304808848206,55.979023402273356,28.389263505154663,0.01526,0.02912621359223344,0.9234941685777669,True,存在内部拐点,,6.444690640994725,6.387557956118154,0.05713268487657226,0.991134922053023,0.2200370862633007
beta,0.48999999999999977,ok,13.752574148548442,720.5782292747325,55.40780887776037,27.826765714285735,0.01526,0.019607843137255387,0.9242798581783367,True,存在内部拐点,,6.447085203173588,6.4293458868772655,0.01773931629632221,0.9972484749716678,0.2220474464360386
beta,0.4949999999999998,ok,13.892906537819343,720.6249333231108,54.84813404061127,27.27563151515154,0.01526,0.009900990099010354,0.9250495659842313,False,全程加速释放 (q_c''<0),t2,6.44942984884847,nan,nan,,0.224037737285953
beta,0.4999999999999998,ok,14.03323892709025,720.6706269297457,54.299652700205144,26.73552000000002,0.01526,4.440892098500626e-16,0.9258037749813652,False,全程加速释放 (q_c''<0),t2,6.451726125057305,nan,nan,,0.22600827617553357
beta,0.5049999999999998,ok,14.173571316361151,720.7153425425928,53.762032376440736,26.20610376237626,0.01526,-0.010101010101009722,0.9265429488768688,False,全程加速释放 (q_c''<0),t2,6.4539755154689145,nan,nan,,0.2279595799152994
beta,0.5099999999999998,ok,14.313903705632054,720.759111234688,53.234953627652104,25.687068235294138,0.01526,-0.0204081632653057,0.9272675330520731,False,全程加速释放 (q_c''<0),t2,6.45617944359946,nan,nan,,0.2298917948197038
beta,0.5149999999999998,ok,14.454236094902956,720.8019627762259,52.7181094176749,25.178111067961186,0.01526,-0.030927835051545838,0.9279779554594834,False,全程加速释放 (q_c''<0),t2,6.458339275834676,nan,nan,,0.2318054008479985
beta,0.5199999999999998,ok,14.594568484173857,720.8439257021482,52.21120451942803,24.678941538461558,0.01526,-0.0416666666666663,0.928674627467547,False,全程加速释放 (q_c''<0),t2,6.460456324271441,nan,nan,,0.23370055438417067
beta,0.5249999999999998,ok,14.734900873444762,720.8850273755684,51.71395495257633,24.189280000000014,0.01526,-0.05263157894736792,0.9293579446567295,False,全程加速释放 (q_c''<0),t2,6.46253184939119,nan,nan,,0.23557778727081052
beta,0.5299999999999998,ok,14.875233262715664,720.9252940473255,51.22608745302372,23.708857358490583,0.01526,-0.06382978723404209,0.9300282875701416,False,全程加速释放 (q_c''<0),t2,6.464567062576665,nan,nan,,0.23743721319501476
beta,0.5349999999999998,ok,15.015565651986565,720.9647509119424,50.747338972154346,23.237414579439267,0.01526,-0.07526881720430056,0.9306860224217218,False,全程加速释放 (q_c''<0),t2,6.466563128482641,nan,nan,,0.2392791536924418
beta,0.5399999999999998,ok,15.155898041257469,721.0034221602403,50.27745620389365,22.774702222222235,0.01526,-0.08695652173912993,0.9313315017647464,False,全程加速释放 (q_c''<0),t2,6.468521167270417,nan,nan,,0.24110403710924125
beta,0.5449999999999998,ok,15.296230430528372,721.041331028837,49.816195137802886,22.320480000000014,0.01526,-0.09890109890109855,0.931965065123239,False,全程加速释放 (q_c''<0),t2,6.470442256715142,nan,nan,,0.24291203556179128
beta,0.5499999999999998,ok,15.436562819799272,721.0784998467445,49.363320636550135,21.874516363636378,0.01526,-0.11111111111111072,0.9325870395886608,False,全程加速释放 (q_c''<0),t2,6.472327434194341,nan,nan,,0.24470342804449177
beta,0.5549999999999998,ok,15.576895209070175,721.1149500792613,48.91860603622086,21.436588108108122,0.01526,-0.12359550561797716,0.933197740384091,False,全程加速释放 (q_c''<0),t2,6.474177698565395,nan,nan,,0.2464784959078799
