role,c0,t,I,q,I_cum,Iq_cum,It_cum,phase
near-inflection,3.4930896646937613,186.9986657728517,40.0,0.3987824816344342,291.1538984452693,140.1469308239789,431.30082926924814,threshold-control
near-inflection,3.4930896646937613,187.00811092135112,40.0,0.3987630883715302,291.26546453934446,140.2209286752833,431.48639321462775,threshold-control
near-inflection,3.4930896646937613,187.01755606985054,40.0,0.3987436951372183,291.3770306334197,140.2949205412105,431.6719511746302,threshold-control
near-inflection,3.4930896646937613,187.02700121834997,40.0,0.3987243019315405,291.4885967274949,140.36890642215545,431.85750314965037,threshold-control
near-inflection,3.4930896646937613,187.0364463668494,40.0,0.39870490875453923,291.60016282157005,140.4428863185131,432.0430491400831,threshold-control
near-inflection,3.4930896646937613,187.0458915153488,40.0,0.3986855156062564,291.71172891564527,140.51686023067828,432.22858914632354,threshold-control
near-inflection,3.4930896646937613,187.05533666384824,40.0,0.3986661224867344,291.8232950097204,140.59082815904588,432.41412316876637,threshold-control
near-inflection,3.4930896646937613,187.06478181234766,40.0,0.3986467293960151,291.93486110379564,140.66479010401073,432.59965120780635,threshold-control
near-inflection,3.4930896646937613,187.07422696084708,40.0,0.3986273363341407,292.04642719787086,140.7387460659676,432.7851732638384,threshold-control
near-inflection,3.4930896646937613,187.0836721093465,40.0,0.39860794330115357,292.157993291946,140.8126960453113,432.9706893372573,threshold-control
near-inflection,3.4930896646937613,187.09311725784593,40.0,0.3985885502970957,292.2695593860212,140.88664004243657,433.1561994284578,threshold-control
near-inflection,3.4930896646937613,187.10256240634538,40.0,0.39856915732200926,292.3811254800968,140.96057805773836,433.34170353783514,threshold-control
near-inflection,3.4930896646937613,187.1120075548448,40.0,0.39854976437593637,292.49269157417194,141.03451009161094,433.5272016657829,threshold-control
near-inflection,3.4930896646937613,187.12145270334423,40.0,0.39853037145891923,292.60425766824716,141.10843614444917,433.71269381269633,threshold-control
near-inflection,3.4930896646937613,187.13089785184366,40.0,0.39851097857100026,292.7158237623223,141.18235621664778,433.8981799789701,threshold-control
near-inflection,3.4930896646937613,187.14034300034308,40.0,0.3984915857122211,292.82738985639753,141.25627030860127,434.08366016499883,threshold-control
near-inflection,3.4930896646937613,187.1497881488425,40.0,0.39847219288262425,292.93895595047275,141.33017842070436,434.2691343711771,threshold-control
near-inflection,3.4930896646937613,187.15923329734193,40.0,0.3984528000822518,293.0505220445479,141.40408055335152,434.45460259789945,threshold-control
near-inflection,3.4930896646937613,187.16867844584135,40.0,0.39843340731114596,293.1620881386231,141.47797670693737,434.64006484556046,threshold-control
near-inflection,3.4930896646937613,187.17812359434078,40.0,0.39841401456934866,293.2736542326983,141.5518668818564,434.8255211145547,threshold-control
near-inflection,3.4930896646937613,187.1875687428402,40.0,0.3983946218569022,293.3852203267735,141.62575107850307,435.01097140527656,threshold-control
near-inflection,3.4930896646937613,187.19701389133965,40.0,0.3983752291738486,293.496786420849,141.6996292972721,435.1964157181211,threshold-control
near-inflection,3.4930896646937613,187.20645903983907,40.0,0.3983558365202303,293.6083525149242,141.7735015385575,435.3818540534817,threshold-control
near-inflection,3.4930896646937613,187.2159041883385,40.0,0.39833644389608924,293.71991860899936,141.84736780275387,435.56728641175323,threshold-control
near-inflection,3.4930896646937613,187.22534933683792,40.0,0.3983170513014678,293.8314847030746,141.92122809025562,435.7527127933302,threshold-control
near-inflection,3.4930896646937613,187.23479448533735,40.0,0.39829765873640777,293.9430507971498,141.99508240145713,435.93813319860686,threshold-control
near-inflection,3.4930896646937613,187.24423963383677,40.0,0.3982782662009514,294.05461689122495,142.06893073675272,436.1235476279777,threshold-control
near-inflection,3.4930896646937613,187.2536847823362,40.0,0.3982588736951411,294.16618298530017,142.14277309653667,436.30895608183687,threshold-control
near-inflection,3.4930896646937613,187.26312993083562,40.0,0.39823948121901875,294.2777490793753,142.2166094812033,436.49435856057863,threshold-control
near-inflection,3.4930896646937613,187.27257507933504,40.0,0.3982200887726266,294.38931517345054,142.29043989114686,436.6797550645974,threshold-control
near-inflection,3.4930896646937613,187.28202022783447,40.0,0.39820069635600686,294.50088126752576,142.3642643267616,436.86514559428736,threshold-control
near-inflection,3.4930896646937613,187.2914653763339,40.0,0.3981813039692015,294.6124473616009,142.43808278844168,437.0505301500426,threshold-control
near-inflection,3.4930896646937613,187.30091052483334,40.0,0.3981619116122529,294.72401345567647,142.51189527658155,437.23590873225805,threshold-control
near-inflection,3.4930896646937613,187.31035567333277,40.0,0.39814251928520294,294.8355795497516,142.58570179157488,437.42128134132656,threshold-control
near-inflection,3.4930896646937613,187.3198008218322,40.0,0.39812312698809393,294.94714564382684,142.65950233381602,437.6066479776429,threshold-control
near-inflection,3.4930896646937613,187.3292459703316,40.0,0.39810373472096816,295.05871173790206,142.73329690369914,437.79200864160117,threshold-control
near-inflection,3.4930896646937613,187.33869111883104,40.0,0.3980843424838676,295.1702778319772,142.80708550161825,437.97736333359546,threshold-control
