valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,platform_error,q_t2_error,cum_decomp_error
1,3.37591017408676,0.155,0.3504,7.75,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,205.470721596872,751.60173500144,226.013122581499,188.066717169615,2.46179659026567,37.2754055540586,34.8136089637929,173.352888362507,74.383441733664,0.703880190842722,0.343624755945556,11.6087111430224,10.8941377518936,9.59965427602417,160.11544974724,48.6158068357356,218.330910859,238.551308899843,NaN,2.74086309204336e-16,0
1,3.4848105022831,0.155,0.3504,8,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,199.04976154697,751.738664844785,218.950212500827,182.189632258065,2.35343795846311,36.6086728934724,34.2552349350093,167.192456790728,73.1659735472297,0.713186187778991,0.349266128602223,11.61876069318,11.0786617983639,9.47324096030619,159.969973444278,47.782640756768,217.225855161352,246.456434349588,NaN,2.74086309204336e-16,0
1,3.59371083047945,0.155,0.3504,8.25,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,193.017950591001,751.864020513592,212.31535757656,176.66873431085,2.2542208624063,35.9639807168997,33.7097598544934,161.418686175254,71.9958251043074,0.721923885814986,0.354647741099386,11.6179694640405,11.2440304297419,9.35751289584033,159.785495272573,46.9876897079086,216.130697876322,254.071047477698,NaN,2.74086309204336e-16,0
1,3.7026111586758,0.155,0.3504,8.5,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,187.340952044207,751.979210951828,206.070788236073,171.472595066414,2.16303477955257,35.3406787534002,33.1776439738476,155.996874326236,70.8704726574799,0.730143938752331,0.359789816907139,11.6078229824319,11.3919688232158,9.25116934880451,159.569127680267,46.2281218884493,215.048418917521,261.409851479314,NaN,5.20417042793042e-17,0
1,3.81151148687215,0.155,0.3504,8.75,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,181.988353414372,752.085425197408,200.183051429328,166.573378064516,2.07894213905331,34.7380602571413,32.659118118088,150.896326548907,69.7875247406197,0.737891133825956,0.364710392899303,11.589598937903,11.5240365166168,9.15311260213532,159.326761659661,45.5013907911637,213.98126505296,268.486792755315,NaN,2.74086309204336e-16,0
1,3.92041181506849,0.155,0.3504,9,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,176.933121375084,752.183673698552,194.622411111846,161.946339784946,2.0011459011894,34.1553866851335,32.1542407839441,146.089795034809,68.74472308047,0.745205220719684,0.36942561932421,11.5643993349974,11.6416433598012,9.06240981236678,159.063295070093,44.8051992822933,212.930904164754,275.315064813462,NaN,5.20417042793042e-17,0
1,4.02931214326484,0.155,0.3504,9.25,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,172.151145121703,752.274820647477,189.362345946661,157.56941168265,1.92896416879029,33.5919057883821,31.6629416195918,141.553009647516,67.7399404794441,0.75212160313033,0.373950010218195,11.5331771361674,11.7460642753294,8.97826315923652,158.782813733163,44.1374690586864,211.898545951086,281.907125031938,NaN,5.20417042793042e-17,0
1,4.13821247146119,0.155,0.3504,9.5,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,167.620851829027,752.359609531302,184.379126316486,153.422848217317,1.86181011267629,33.0468647833712,31.1850546706949,137.264283197266,66.7711767237925,0.758671918921848,0.378296653790602,11.4967584295612,11.8384527631818,8.89998625714942,158.488736064076,43.4963145559637,210.885036877189,288.274719812554,NaN,2.74086309204336e-16,0
1,4.24711279965753,0.155,0.3504,9.75,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,163.322881269308,752.438683504851,179.651456410935,149.488929032258,1.79917595680893,32.5195198407343,30.7203438839254,133.204177778235,65.8365532598689,0.764884529378448,0.382477390227497,11.455860945982,11.9198531592263,8.82698534705436,158.183929322222,42.8800205609138,209.89093523019,294.428914941196,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,159.239809237576,752.512601770157,175.160170000662,145.751705806452,1.74062009626042,32.0091428131222,30.2685227168618,129.355221436648,64.9343071595974,0.770784933832729,0.386502962787113,11.4111095848618,11.9912117010384,8.75874417492467,157.870803606743,42.2870229222371,208.916570703904,300.380128899381,NaN,2.74086309204336e-16,0
