eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_q,J_total,w_c,w_q,C2,C2_daily,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,strategy
359.8226062857106,2.733591174395735e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,1.0,30.19670066954218,0.6669991772297433,,,fixed_reference,,,,TDINN控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,1.0,0.0,0.0,,,routine,,,,常规控制
359.8226062857106,2.733591174395735e-05,12.8872,12.643884970601897,6271.848269220447,6259.204384249845,7052.247723934378,359.8226062857106,2125141.5945799327,0.8470120389868763,0.6171502106784719,0.323,0.8470120389868763,1841.146288306707,2719.5661570261555,1.0,2.0,3024.4767432214244,0.48320466269354817,0.0,0.0,ok,13161054.571285993,2974125.4115856644,1711863.1646776996,情景一阈值控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,2.0,49.35392945978424,1.0901532158423708,,,fixed_reference,,,,TDINN控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,2.0,0.0,0.0,,,routine,,,,常规控制
359.8226062857106,2.733591174395735e-05,12.8872,12.643884970601897,6271.848269220447,6259.204384249845,7052.247723934378,359.8226062857106,2125141.5945799327,0.8470120389868763,0.6171502106784719,0.323,0.8470120389868763,1841.146288306707,2719.5661570261555,1.0,5.0,7561.19185805356,1.2080116567338703,0.0,0.0,ok,13161054.571285993,2974125.4115856644,1711863.1646776996,情景一阈值控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,5.0,106.82561583051039,2.3596153316802524,,,fixed_reference,,,,TDINN控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,5.0,0.0,0.0,,,routine,,,,常规控制
359.8226062857106,2.733591174395735e-05,12.8872,12.643884970601897,6271.848269220447,6259.204384249845,7052.247723934378,359.8226062857106,2125141.5945799327,0.8470120389868763,0.6171502106784719,0.323,0.8470120389868763,1841.146288306707,2719.5661570261555,1.0,10.0,15122.38371610712,2.4160233134677407,0.0,0.0,ok,13161054.571285993,2974125.4115856644,1711863.1646776996,情景一阈值控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,10.0,202.61175978172065,4.475385524743389,,,fixed_reference,,,,TDINN控制
359.8226062857106,2.733591174395735e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,10.0,0.0,0.0,,,routine,,,,常规控制
404.24247099543345,3.071051211695156e-05,12.8872,12.75894527382143,5584.122595514088,5571.363650240267,6332.613901541815,404.24247099543345,2127145.972394083,0.8470092471494985,0.6171515945106628,0.323,0.8470092471494985,1638.825501316921,2420.7171363617736,1.0,1.0,1346.0582456599927,0.24160301322315292,0.0,0.0,ok,13160814.40301832,2974125.4115856644,1711863.1646776996,情景一阈值控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,1.0,30.19670066954218,0.6669991772297433,,,fixed_reference,,,,TDINN控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,1.0,0.0,0.0,,,routine,,,,常规控制
404.24247099543345,3.071051211695156e-05,12.8872,12.75894527382143,5584.122595514088,5571.363650240267,6332.613901541815,404.24247099543345,2127145.972394083,0.8470092471494985,0.6171515945106628,0.323,0.8470092471494985,1638.825501316921,2420.7171363617736,1.0,2.0,2692.1164913199855,0.48320602644630584,0.0,0.0,ok,13160814.40301832,2974125.4115856644,1711863.1646776996,情景一阈值控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,2.0,49.35392945978424,1.0901532158423708,,,fixed_reference,,,,TDINN控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,2.0,0.0,0.0,,,routine,,,,常规控制
