method,label,t,community_new_obs,quarantine_new_obs,community_cum_obs,quarantine_cum_obs,community_new_pred,quarantine_new_pred,community_cum_pred,quarantine_cum_pred,I_pred,Iq_pred
daily_mse,daily MSE,17.0,42.0,109.0,256.0,380.0,51.97062600167729,88.81866694580572,247.12837861680765,332.66117519631996,121.75929572138199,165.8798743315302
daily_mse,daily MSE,18.0,57.0,117.0,313.0,497.0,53.36846148574847,101.69647743843717,300.4968401025561,434.35765263475713,136.83582593213816,202.48746660321936
daily_mse,daily MSE,19.0,60.0,91.0,373.0,588.0,51.99848535915709,110.63884924771884,352.4953254617132,544.996501882476,146.8152187406738,235.62791532149092
daily_mse,daily MSE,20.0,58.0,97.0,431.0,685.0,48.267796496112624,114.82937919983681,400.76312195782583,659.8258810823128,150.96910481369164,262.31779167621886
daily_mse,daily MSE,21.0,54.0,107.0,485.0,792.0,42.86409302695972,114.16181994787007,443.62721498478555,773.9877010301828,149.35475589027956,280.3891450525161
daily_mse,daily MSE,22.0,33.0,141.0,518.0,933.0,36.56767869539556,109.16554897248545,480.1948936801811,883.1532500026683,142.69046697788008,288.77851670585767
daily_mse,daily MSE,23.0,22.0,100.0,540.0,1033.0,30.09030648021735,100.80527624819229,510.28520016039846,983.9585262508606,132.12437244432087,287.55934499207143
daily_mse,daily MSE,24.0,9.0,81.0,549.0,1114.0,23.975902343654923,90.23712820215337,534.2611025040534,1074.195654453014,118.97784369235531,277.7591159557957
daily_mse,daily MSE,25.0,10.0,85.0,559.0,1199.0,18.567434529770935,78.59172011072906,552.8285370338243,1152.787374563743,104.52711345434072,261.0491688895827
daily_mse,daily MSE,26.0,4.0,31.0,563.0,1230.0,14.024039988128038,66.82548358814392,566.8525770219524,1219.612858151887,89.85637596374113,239.40415625116074
daily_mse,daily MSE,27.0,2.0,61.0,565.0,1291.0,10.364496656206143,55.648470156125086,577.2170736781585,1275.261328308012,75.7864286796061,214.80295510476765
daily_mse,daily MSE,28.0,5.0,52.0,570.0,1343.0,7.517619042807951,45.516041143434904,584.7346927209664,1320.777369451447,62.86515636878462,189.0133558118918
daily_mse,daily MSE,29.0,0.0,46.0,570.0,1389.0,5.366178765445625,36.66146443522598,590.1008714864121,1357.438833886673,51.39827237365184,163.4688686286718
daily_mse,daily MSE,30.0,4.0,26.0,574.0,1415.0,3.7791583931663126,29.147683557500613,593.8800298795784,1386.5865174441735,41.49984064800115,139.22611614746302
daily_mse,daily MSE,31.0,4.0,11.0,578.0,1426.0,2.6318686748550135,22.92166250973014,596.5118985544334,1409.5081799539037,33.14706699689056,116.98044742954838
daily_mse,daily MSE,32.0,0.0,13.0,578.0,1439.0,1.8162501656952372,17.861725403105083,598.3281487201286,1427.3699053570087,26.229842399496512,97.11661341044586
daily_mse,daily MSE,33.0,0.0,8.0,578.0,1447.0,1.2443791316868555,13.814017314202829,599.5725278518155,1441.1839226712116,20.59050974738996,79.77488078092053
daily_mse,daily MSE,34.0,2.0,4.0,580.0,1451.0,0.8479015607481415,10.617537773825006,600.4204294125636,1451.8014604450366,16.05292697958131,64.918194388861
daily_mse,daily MSE,35.0,1.0,7.0,581.0,1458.0,0.5754946780874661,8.119593495694517,600.9959240906511,1459.921053940731,12.441885931418968,52.39219877979703
daily_mse,daily MSE,36.0,2.0,2.0,583.0,1460.0,0.38965007353885994,6.184041977122661,601.38557416419,1466.1050959178538,9.594759088264361,41.9742270383505
daily_mse,daily MSE,37.0,0.0,1.0,583.0,1461.0,0.2635329072005561,4.694504152461832,601.6491070713905,1470.7996000703156,7.367459873285606,33.41030593575253
daily_mse,daily MSE,38.0,0.0,5.0,583.0,1466.0,0.17826639973748115,3.554482415551547,601.827373471128,1474.3540824858671,5.636542162178674,26.44119314988759
daily_mse,daily MSE,39.0,0.0,1.0,583.0,1467.0,0.12075004006612744,2.6857653878755627,601.9481235111941,1477.0398478737427,4.298889298237464,20.81930332078394
paper_mse,paper-style MSE,0.0,1.0,0.0,1.0,0.0,0.0022694284125743956,0.001085525177557068,0.0022694284125743956,0.001085525177557068,0.0027625319713590027,0.0009416020931271681
paper_mse,paper-style MSE,1.0,0.0,0.0,1.0,0.0,0.006160919785110706,0.002986539557762335,0.008430348197685102,0.004072064735319403,0.007518519298164427,0.0032511083416169513
paper_mse,paper-style MSE,2.0,0.0,0.0,1.0,0.0,0.016351199261856887,0.008127982679900635,0.02478154745954199,0.012200047415220037,0.020085573353654202,0.009329598160144111
paper_mse,paper-style MSE,3.0,1.0,0.0,2.0,0.0,0.04209903265051057,0.021703617431399043,0.06688058011005256,0.03390366484661908,0.052226705724663425,0.025356051648088504
paper_mse,paper-style MSE,4.0,1.0,0.0,3.0,0.0,0.10429784529409102,0.05635182917553044,0.17117842540414357,0.09025549402214952,0.13113298389366349,0.06658709518533218
paper_mse,paper-style MSE,5.0,0.0,0.0,3.0,0.0,0.24676109794101125,0.1410587598427675,0.41793952334515483,0.23131425386491702,0.31563270604440435,0.16873252727374813
paper_mse,paper-style MSE,6.0,1.0,3.0,4.0,3.0,0.5538747769822778,0.3378282453727829,0.9718143003274327,0.5691424992376999,0.7236729135464439,0.41022389162124673
paper_mse,paper-style MSE,7.0,2.0,2.0,6.0,5.0,1.1728063394053698,0.76893672715784,2.1446206397328025,1.33807922639554,1.5720462768596106,0.951102265757191
paper_mse,paper-style MSE,8.0,3.0,4.0,9.0,9.0,2.3319754125445202,1.6540762883283067,4.476596052277323,2.9921555147238466,3.2217227896086644,2.0918078056774227
paper_mse,paper-style MSE,9.0,5.0,5.0,14.0,14.0,4.33888610310764,3.3478533678303246,8.815482155384963,6.340008882554171,6.209045019423731,4.345862925279359
paper_mse,paper-style MSE,10.0,8.0,13.0,22.0,27.0,7.53593940931632,6.355017171022903,16.351421564701283,12.695026053577074,11.22958805799353,8.50282654141143
paper_mse,paper-style MSE,11.0,21.0,21.0,43.0,48.0,12.201539685233648,11.290482777219705,28.55296124993493,23.98550883079678,19.039362390945737,15.63704096203302
paper_mse,paper-style MSE,12.0,31.0,21.0,74.0,69.0,18.410444774283548,18.75631472421537,46.96340602421848,42.74182355501215,30.259897849720605,27.007924132227863
paper_mse,paper-style MSE,13.0,35.0,28.0,109.0,97.0,25.90292687003207,29.13856586872795,72.86633289425055,71.8803894237401,45.12079600740803,43.81718607026012
paper_mse,paper-style MSE,14.0,22.0,27.0,131.0,124.0,34.032816139692585,42.37678257354156,106.89914903394313,114.25717199728166,63.225520160874744,66.84446567763884
paper_mse,paper-style MSE,15.0,24.0,51.0,155.0,175.0,41.84663465706532,57.80099311580173,148.74578369100846,172.0581651130834,83.44860357462306,96.05702130023208
paper_mse,paper-style MSE,16.0,59.0,96.0,214.0,271.0,48.28976696860656,74.13053865978068,197.035550659615,246.18870377286407,104.0398467957732,130.33935476917927
paper_mse,paper-style MSE,17.0,42.0,109.0,256.0,380.0,52.47055554832559,89.67305849927305,249.5061062079406,335.8617622721371,122.930710249591,167.47571680624972
paper_mse,paper-style MSE,18.0,57.0,117.0,313.0,497.0,53.881777879835454,102.67462546322196,303.38788408777606,438.5363877353591,138.15217361992322,204.43530532318172
paper_mse,paper-style MSE,19.0,60.0,91.0,373.0,588.0,52.49854178847181,111.70283675082374,355.88642587624787,550.2392244861828,148.2274237760282,237.89427908982512
paper_mse,paper-style MSE,20.0,58.0,97.0,431.0,685.0,48.73189946544318,115.93347591163081,404.61832534169105,666.1727003978136,152.4211094326595,264.84054926185826
paper_mse,paper-style MSE,21.0,54.0,107.0,485.0,792.0,43.27616923988268,115.25931525081546,447.8944945815737,781.4320156486291,150.79107214304753,283.08534412845154
paper_mse,paper-style MSE,22.0,33.0,141.0,518.0,933.0,36.91916007406735,110.21483271424552,484.8136546556411,891.6468483628746,144.06253385012596,291.55500686939797
paper_mse,paper-style MSE,23.0,22.0,100.0,540.0,1033.0,30.37947824724239,101.7740329180059,515.1931329028835,993.4208812808805,133.39469365672426,290.32372943064894
paper_mse,paper-style MSE,24.0,9.0,81.0,549.0,1114.0,24.20627944057412,91.10418339358023,539.3994123434576,1084.5250646744607,120.1216437608048,280.4289168593726
paper_mse,paper-style MSE,25.0,10.0,85.0,559.0,1199.0,18.745815840595014,79.34676416344882,558.1452281840526,1163.8718288379096,105.53188959116736,263.5580460378844
paper_mse,paper-style MSE,26.0,4.0,31.0,563.0,1230.0,14.158754146975525,67.46740274131866,572.3039823310281,1231.3392315792282,90.72004766179042,241.70473851051753
paper_mse,paper-style MSE,27.0,2.0,61.0,565.0,1291.0,10.464045406246328,56.18295947949241,582.7680277372745,1287.5221910587206,76.51480220027224,216.86690796852838
paper_mse,paper-style MSE,28.0,5.0,52.0,570.0,1343.0,7.589815907699972,45.95316439987323,590.3578436449744,1333.4753554585939,63.469298123501424,190.82931523057383
paper_mse,paper-style MSE,29.0,0.0,46.0,570.0,1389.0,5.41770887572693,37.01351344076102,595.7755525207014,1370.4888688993549,51.89218300073739,165.0392544877622
paper_mse,paper-style MSE,30.0,4.0,26.0,574.0,1415.0,3.815446272522763,29.427561319907454,599.5909987932241,1399.9164302192623,41.89860778341513,140.56350407635333
paper_mse,paper-style MSE,31.0,4.0,11.0,578.0,1426.0,2.657137651585913,23.14174019111215,602.24813644481,1423.0581704103745,33.46555575185583,118.10405636254927
paper_mse,paper-style MSE,32.0,0.0,13.0,578.0,1439.0,1.8336874495684015,18.033209038999303,604.0818238943784,1441.0913794493738,26.48185683567143,98.04935888773448
paper_mse,paper-style MSE,33.0,0.0,8.0,578.0,1447.0,1.2563256231659352,13.94663594434519,605.3381495175444,1455.038015393719,20.788333377676256,80.54102351942579
paper_mse,paper-style MSE,34.0,2.0,4.0,580.0,1451.0,0.856041396824935,10.719465312583907,606.1941909143693,1465.7574807063029,16.20714948653501,65.54162319648819
paper_mse,paper-style MSE,35.0,1.0,7.0,581.0,1458.0,0.5810188140395667,8.197535618464599,606.7752097284089,1473.9550163247675,12.561412915499085,52.89530897958699
paper_mse,paper-style MSE,36.0,2.0,2.0,583.0,1460.0,0.3933902303410832,6.243401828078959,607.16859995875,1480.1984181528464,9.68693200866612,42.37727539790989
paper_mse,paper-style MSE,37.0,0.0,1.0,583.0,1461.0,0.26606248931727805,4.739565012492676,607.4346624480672,1484.9379831653391,7.4382346613389485,33.73110668304221
paper_mse,paper-style MSE,38.0,0.0,5.0,583.0,1466.0,0.17997750045935845,3.5886000092289123,607.6146399485266,1488.526583174568,5.690688114871779,26.695067515765004
paper_mse,paper-style MSE,39.0,0.0,1.0,583.0,1467.0,0.12190923153286803,2.71154601477474,607.7365491800595,1491.2381291893428,4.3401841016365506,21.019193111846807
