switch_s,total_cost
6.445467494467169711e-01,1.547656321749649733e+00
6.455034070840688365e-01,1.548024818201937824e+00
6.464600647214209239e-01,1.548397138396581996e+00
6.474167223587729003e-01,1.548773284963880892e+00
6.483733799961248767e-01,1.549153260510341967e+00
6.493300376334768531e-01,1.549537067619082054e+00
6.502866952708288295e-01,1.549924708850248134e+00
6.512433529081809169e-01,1.550316186741391045e+00
6.522000105455327823e-01,1.550711503807871594e+00
6.531566681828848697e-01,1.551110662543245811e+00
6.541133258202367351e-01,1.551513665419653742e+00
6.550699834575888225e-01,1.551920514888188274e+00
6.560266410949407989e-01,1.552331213379289920e+00
6.569832987322927753e-01,1.552745763303094995e+00
6.579399563696448627e-01,1.553164167049826183e+00
6.588966140069967281e-01,1.553586426990146041e+00
6.598532716443488155e-01,1.554012545475514040e+00
6.608099292817006809e-01,1.554442524838547834e+00
6.617665869190527683e-01,1.554876367393374759e+00
6.627232445564047447e-01,1.555314075435985544e+00
6.636799021937567211e-01,1.555755651244568050e+00
6.646365598311086975e-01,1.556201097079856321e+00
6.655932174684606739e-01,1.556650415185466763e+00
6.665498751058127613e-01,1.557103607788234534e+00
6.675065327431646267e-01,1.557560677098535740e+00
6.684631903805167141e-01,1.558021625310626712e+00
6.694198480178686905e-01,1.558486454602962867e+00
6.703765056552206669e-01,1.558955167138498688e+00
6.713331632925726433e-01,1.559427765065045657e+00
6.722898209299246197e-01,1.559904250515550483e+00
6.732464785672767071e-01,1.560384625608415732e+00
6.742031362046285725e-01,1.560868892447815792e+00
6.751597938419806599e-01,1.561357053123985317e+00
6.761164514793326363e-01,1.561849109713528083e+00
6.770731091166846127e-01,1.562345064279720086e+00
6.780297667540365891e-01,1.562844918872787536e+00
6.789864243913885655e-01,1.563348675530213061e+00
6.799430820287406529e-01,1.563856336277011483e+00
6.808997396660925183e-01,1.564367903126029136e+00
6.818563973034446057e-01,1.564883378078209208e+00
6.828130549407965821e-01,1.565402763122888841e+00
6.837697125781485585e-01,1.565926060238059803e+00
6.847263702155005349e-01,1.566453271390653379e+00
6.856830278528525113e-01,1.566984398536797496e+00
6.866396854902045988e-01,1.567519443622098718e+00
6.875963431275564641e-01,1.568058408581907814e+00
6.885530007649085515e-01,1.568601295341562007e+00
6.895096584022604169e-01,1.569148105816671190e+00
6.904663160396125043e-01,1.569698841913351739e+00
6.914229736769644807e-01,1.570253505528505844e+00
6.923796313143164571e-01,1.570812098550043556e+00
6.933362889516685446e-01,1.571374622857161230e+00
6.942929465890204099e-01,1.571941080320563788e+00
6.952496042263724974e-01,1.572511472802728072e+00
6.962062618637243627e-01,1.573085802158134427e+00
6.971629195010764501e-01,1.573664070233507850e+00
6.981195771384284265e-01,1.574246278868059123e+00
6.990762347757804029e-01,1.574832429893705310e+00
7.000328924131323793e-01,1.575422525135332652e+00
7.009895500504843557e-01,1.576016566410985087e+00
7.019462076878364432e-01,1.576614555532130924e+00
7.029028653251883085e-01,1.577216494303858463e+00
7.038595229625403960e-01,1.577822384525127797e+00
7.048161805998923723e-01,1.578432227988955328e+00
7.057728382372443487e-01,1.579046026482670229e+00
7.067294958745963251e-01,1.579663781788102961e+00
7.076861535119483015e-01,1.580285495681827301e+00
7.086428111493003890e-01,1.580911169935334426e+00
7.095994687866522543e-01,1.581540806315288705e+00
7.105561264240043418e-01,1.582174406583699122e+00
7.115127840613563182e-01,1.582811972498142650e+00
7.124694416987082946e-01,1.583453505811965867e+00
7.134260993360602710e-01,1.584099008274491238e+00
7.143827569734122473e-01,1.584748481631214956e+00
7.153394146107643348e-01,1.585401927623994123e+00
7.162960722481162001e-01,1.586059347991267909e+00
7.172527298854682876e-01,1.586720744468227196e+00
7.182093875228202640e-01,1.587386118787021960e+00
7.191660451601722404e-01,1.588055472676959790e+00
7.201227027975242168e-01,1.588728807864662640e+00
7.210793604348761932e-01,1.589406126074302872e+00
7.220360180722282806e-01,1.590087429027738697e+00
7.229926757095801459e-01,1.590772718444735778e+00
7.239493333469322334e-01,1.591461996043135985e+00
7.249059909842842098e-01,1.592155263539037025e+00
7.258626486216361862e-01,1.592852522646967195e+00
7.268193062589881626e-01,1.593553775080075008e+00
7.277759638963401390e-01,1.594259022550300831e+00
7.287326215336922264e-01,1.594968266768534537e+00
7.296892791710440918e-01,1.595681509444815349e+00
7.306459368083961792e-01,1.596398752288483935e+00
7.316025944457480445e-01,1.597119997008360937e+00
7.325592520831001320e-01,1.597845245312905060e+00
7.335159097204521084e-01,1.598574498910391606e+00
7.344725673578040848e-01,1.599307759509069449e+00
7.354292249951561722e-01,1.600045028817324022e+00
7.363858826325080376e-01,1.600786308543841630e+00
7.373425402698601250e-01,1.601531600397778199e+00
7.382991979072119904e-01,1.602280906088897616e+00
7.392558555445640778e-01,1.603034227327750250e+00
7.402125131819160542e-01,1.603791565825818166e+00
7.411691708192680306e-01,1.604552923295675226e+00
7.421258284566200070e-01,1.605318301451134078e+00
7.430824860939719834e-01,1.606087702007412243e+00
7.440391437313240708e-01,1.606861126681253360e+00
