time,s,i,q,beta1,beta2
1.070000000000000062e+00,9.744922669246821600e-01,2.077122518293115713e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.080000000000000071e+00,9.742891900022833118e-01,2.091177782717358949e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.090000000000000080e+00,9.740847818778879397e-01,2.105323865457475394e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000089e+00,9.738790345368213419e-01,2.119561294730454987e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.110000000000000098e+00,9.736719399257327545e-01,2.133890601031420559e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.120000000000000107e+00,9.734634899527980778e-01,2.148312317111838662e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.130000000000000115e+00,9.732536764878180202e-01,2.162826977969444647e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.140000000000000124e+00,9.730424913617471416e-01,2.177435120869632493e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000133e+00,9.728299263666434493e-01,2.192137285346841200e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.159999999999999920e+00,9.726159732556938220e-01,2.206934013200273145e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.169999999999999929e+00,9.724006237435551814e-01,2.221825848462215605e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.179999999999999938e+00,9.721838695061417734e-01,2.236813337407482505e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.189999999999999947e+00,9.719657021803067565e-01,2.251897028565432932e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e+00,9.717461133638352067e-01,2.267077472719960032e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.209999999999999964e+00,9.715250946155591372e-01,2.282355222895344690e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.219999999999999973e+00,9.713026374556991138e-01,2.297730834327377930e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.229999999999999982e+00,9.710787333654292697e-01,2.313204864483192624e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.239999999999999991e+00,9.708533737867384161e-01,2.328777873064787757e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+00,9.706265501224360381e-01,2.344450422007925833e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.260000000000000009e+00,9.703982537364327365e-01,2.360223075453480451e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.270000000000000018e+00,9.701684759538603542e-01,2.376096399735410855e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.280000000000000027e+00,9.699372080606444291e-01,2.392070963397109618e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.290000000000000036e+00,9.697044413034662247e-01,2.408147337191608034e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000044e+00,9.694701668898080271e-01,2.424326094075578836e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.310000000000000053e+00,9.692343759883799148e-01,2.440607809170263626e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.320000000000000062e+00,9.689970597289331300e-01,2.456993059768427384e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.330000000000000071e+00,9.687582092019828561e-01,2.473482425341548552e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.340000000000000080e+00,9.685178154588039989e-01,2.490076487539554656e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000089e+00,9.682758695115891712e-01,2.506775830172982417e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.360000000000000098e+00,9.680323623338694672e-01,2.523581039177396831e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.370000000000000107e+00,9.677872848601243305e-01,2.540492702628864216e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.380000000000000115e+00,9.675406279856654246e-01,2.557511410744338354e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.390000000000000124e+00,9.672923825666444042e-01,2.574637755880446188e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
